序号,应用名称-CMDB,应用所属中心,数据库名称,数据库主库所属中心,目标节点数据库角色,访问数据库使用用户,访问权限,备注
1,clearing-worker,13,clearing_branch_00至clearing_branch_29,13,主库,nclearingwork,"select,insert,update"
2,clearing-worker,12,clearing_branch_00至clearing_branch_29,13,同城备,nclearingwork,"select,insert,update"
3,clearing-worker,23,clearing_branch_00至clearing_branch_29,13,异地备,nclearingwork,"select,insert,update"
4,clearing-manage,13,clearing_manage,13,主库,nclearingmanage,"select,insert,update"
5,clearing-controller,13,clearing_ctrl,13,主库,nclearingctrl,"select,insert,update"
6,clearing-acceptor,13,clearing_ctrl,13,主库,nclearingctrl,"select,insert,update"
7,clearing-instruction,13,clearing_ctrl,13,主库,nclearingctrl,"select,insert,update"
8,clearing-manage,13,clearing_manage,13,NUDB主库,nclearingmanage,"select,insert,update"
9,clearing-controller,13,clearing_ctrl,13,NUDB主库,nclearingctrl,"select,insert,update"
10,clearing-acceptor,13,clearing_ctrl,13,NUDB主库,nclearingctrl,"select,insert,update"
11,clearing-instruction,13,clearing_ctrl,13,NUDB主库,nclearingctrl,"select,insert,update"
12,clearing-controller,13,clearing_center,13,主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
13,clearing-acceptor,13,clearing_center,13,主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
14,clearing-instruction,13,clearing_center,13,主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
15,clearing-controller,13,clearing_center,13,NUDB主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
16,clearing-acceptor,13,clearing_center,13,NUDB主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
17,clearing-instruction,13,clearing_center,13,NUDB主库,nclearingcenter,"select,insert,update",孤岛部署期间使用
